GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Households!!Estimate!!Total,Households!!Margin of Error!!Total,"Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more",median_household_income,Households!!Margin of Error!!Median income (dollars),Households!!Estimate!!Mean income (dollars),Households!!Margin of Error!!Mean income (dollars),Households!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months,Households!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months,Households!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months,Households!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months,Households!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Households!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Families!!Estimate!!Total,Families!!Margin of Error!!Total,"Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more",Families!!Estimate!!Median income (dollars),Families!!Margin of Error!!Median income (dollars),Families!!Estimate!!Mean income (dollars),Families!!Margin of Error!!Mean income (dollars),Families!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months,Families!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months,Families!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months,Families!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months,Families!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Families!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Married-couple families!!Estimate!!Total,Married-couple families!!Margin of Error!!Total,"Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more",Married-couple families!!Estimate!!Median income (dollars),Married-couple families!!Margin of Error!!Median income (dollars),Married-couple families!!Estimate!!Mean income (dollars),Married-couple families!!Margin of Error!!Mean income (dollars),Married-couple families!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months,Married-couple families!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months,Married-couple families!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Nonfamily households!!Estimate!!Total,Nonfamily households!!Margin of Error!!Total,"Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more",Nonfamily households!!Estimate!!Median income (dollars),Nonfamily households!!Margin of Error!!Median income (dollars),Nonfamily households!!Estimate!!Mean income (dollars),Nonfamily households!!Margin of Error!!Mean income (dollars),Nonfamily households!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months,Nonfamily households!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months,Nonfamily households!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
6390,ZCTA5 06390,118,54,0,22.2,0.8,2.1,1.7,2.7,0,22.2,1.7,3.5,17.8,19.6,1.7,2.8,24.6,19.1,29.7,22.7,22,19.1,152652,17233,168840,40455,40.7,(X),(X),(X),(X),(X),73,42,0,32.3,1.4,3.6,0,32.3,0,32.3,0,32.3,23.3,29.2,0,32.3,39.7,28.2,26,27.9,9.6,9.2,145859,29084,139052,34629,(X),(X),63,(X),(X),(X),57,35,0,37.7,1.8,4.7,0,37.7,0,37.7,0,37.7,29.8,35.2,0,37.7,22.8,18,33.3,34.1,12.3,12,130938,83989,N,N,(X),(X),(X),(X),(X),(X),45,34,0,42.5,0,42.5,4.4,7.3,0,42.5,4.4,10.2,8.9,11.3,4.4,8.2,0,42.5,35.6,42.2,42.2,41.6,-,**,217162,76494,(X),(X),(X),(X),4.4,(X)
10001,ZCTA5 10001,11967,548,9,2,4,1.5,7.7,2.1,4.4,1,9.1,2.1,11.5,2.3,8.9,1.9,13.9,2.4,8.8,2.3,22.7,2.9,85168,11872,162724,26868,22.3,(X),(X),(X),(X),(X),3550,380,5.4,4.1,4.3,3.2,6.9,4.6,3.3,1.9,9.8,4.8,8.9,4.1,12.5,5.1,12.2,3.2,9,3.2,27.8,5.1,94286,23488,188216,31113,(X),(X),31.5,(X),(X),(X),2692,335,2.2,2.2,2,3.1,5.2,5.3,2.2,1.8,9.7,5.5,10.8,4.9,7.2,4.5,14.9,4.2,11.6,4.2,34.2,5.9,140882,23665,N,N,(X),(X),(X),(X),(X),(X),8417,516,10.5,2.3,3.9,1.6,8.1,2.4,4.9,1.3,8.9,2.3,12.8,2.9,7.6,1.8,14.3,3.2,8.7,2.7,20.4,3.1,78438,11230,151486,35086,(X),(X),(X),(X),18.4,(X)
10002,ZCTA5 10002,33327,636,15.3,1.8,12,1.7,13.5,1.6,8.7,1.3,10.6,1.4,13.2,1.5,7.6,1.2,9.3,1.2,3.6,0.7,6.3,0.8,35594,2970,64196,2829,31,(X),(X),(X),(X),(X),16629,752,9.3,2.3,10.8,2.2,16.1,2.6,11.2,2.1,14.5,2.5,14,2.6,7.4,1.7,8.2,1.7,3.4,1.1,5.2,1,37786,3242,63273,4327,(X),(X),36.1,(X),(X),(X),9445,662,5.8,2,11.7,3.3,15.3,2.9,11.6,2.2,12.6,3,12.8,3.3,6.8,1.9,9.8,2.7,4.7,1.5,8.9,1.8,42325,6591,78206,7178,(X),(X),(X),(X),(X),(X),16698,727,21.7,2.6,13.3,2.4,11.4,2.1,6.6,1.7,6.4,1.4,12.3,2.1,7.5,1.6,10.2,1.8,3.7,1,7,1.1,29945,5367,63625,3717,(X),(X),(X),(X),25.3,(X)
10003,ZCTA5 10003,27258,681,6.5,1.3,2,0.8,6.5,1.4,5.4,1.5,7.2,1.1,11.5,1.6,10.3,1.6,15,1.8,10.7,1.6,24.9,2.1,100791,4905,171737,10532,24.3,(X),(X),(X),(X),(X),7832,640,1.9,1.6,0.6,0.6,3.6,2.6,4.8,2.2,6.4,2.9,5.9,1.9,8.5,2.4,14.8,2.8,11.3,3,42.1,4.1,165417,19105,279259,28014,(X),(X),30.3,(X),(X),(X),6603,549,1.3,1.6,0.5,0.6,0.7,0.6,3.7,2.1,5.7,2.8,5.5,2.1,8,2.8,14.6,3.3,12.6,3.4,47.3,4.4,191203,14459,N,N,(X),(X),(X),(X),(X),(X),19426,832,8.3,1.7,2.6,1.1,7.7,1.6,5.7,1.9,7.6,1.5,13.7,2.1,11,1.9,15.3,2.4,10.3,1.9,17.8,2.2,85202,4671,127875,8912,(X),(X),(X),(X),21.9,(X)
10004,ZCTA5 10004,1592,210,1.8,1.2,0.3,0.4,1.6,2,2.2,2.6,8.8,5.8,9.2,7.4,13.9,5.9,21.5,8.4,10.5,5.1,30.2,9.3,123056,13409,173800,24892,24.2,(X),(X),(X),(X),(X),559,157,0.7,1.2,0,5.2,0,5.2,4.1,6.1,5.7,5.6,3.4,5.3,0,5.2,15.7,11,11.8,7.8,58.5,15.5,226130,43126,267742,47961,(X),(X),24.5,(X),(X),(X),473,113,0,6.1,0,6.1,0,6.1,4.9,7.2,3.6,4.4,4,6.3,0,6.1,16.3,12.1,14,9,57.3,16.2,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),1033,194,2.4,1.8,0.5,0.7,2.5,3,1.2,2,11.9,8.8,12.3,10.7,19.9,8.4,24.6,10.8,9.8,5.9,14.9,8.9,99013,13400,122163,26540,(X),(X),(X),(X),24.1,(X)
10005,ZCTA5 10005,4295,335,8.3,3.9,1.4,1.3,3.7,3,0.7,0.7,2.2,2,9.5,3.8,9.1,4.3,21.4,5.6,12.2,3.9,31.5,6.7,130116,11890,193229,25435,24.5,(X),(X),(X),(X),(X),1416,268,0.2,0.3,0,2.1,2,3.4,0.9,1.3,0.2,0.4,4.2,4.4,8.8,7.8,21.7,10.8,7.2,4.9,54.7,12,212569,30162,294607,51142,(X),(X),23.7,(X),(X),(X),1268,272,0,2.3,0,2.3,0,2.3,0,2.3,0.2,0.4,3.3,4.4,9.9,8.7,21.8,12.5,5.9,4.7,58.9,13.6,219762,34378,N,N,(X),(X),(X),(X),(X),(X),2879,306,12.3,5.6,2.1,1.9,4.6,4.2,0.5,0.9,3.1,3,12.8,5.1,9.2,4.7,22.3,6.8,14.6,5.3,18.5,6.3,108519,14522,138087,24589,(X),(X),(X),(X),24.2,(X)
10006,ZCTA5 10006,1776,208,6,3.6,3.5,3.4,0,1.7,0.7,1.1,1.1,1.8,16.3,6,6.7,4.5,27.8,6.3,7.7,4.7,30.2,7.6,125364,13544,174312,27607,20.3,(X),(X),(X),(X),(X),488,125,2.9,5.1,0,6,0,6,0,6,0,6,7.6,9.2,0,6,44.7,15.4,5.3,8.2,39.5,17.5,137500,60096,215682,58931,(X),(X),12.5,(X),(X),(X),413,116,3.4,6,0,7,0,7,0,7,0,7,9,10.9,0,7,34.6,13,6.3,9.7,46.7,18.7,178702,101874,N,N,(X),(X),(X),(X),(X),(X),1288,226,7.2,4.7,4.8,4.7,0,2.3,0.9,1.5,1.6,2.5,19.6,7.6,9.2,6.1,23.3,7.9,6.7,4.8,26.6,9.4,110729,23652,157296,31202,(X),(X),(X),(X),21.4,(X)
10007,ZCTA5 10007,2743,261,3.1,2,1.9,1.8,0,1.1,1.6,1.7,4.8,2.8,3.4,2,5.6,3.6,11.2,4.5,9.4,3.9,58.9,6.5,234958,45462,392959,53895,19.9,(X),(X),(X),(X),(X),1351,215,2.5,2.8,0,2.2,0,2.2,1.6,2.2,3.1,3.2,1.2,2,2.1,2.3,8.1,3.8,3.8,3.1,77.6,6.7,"250,000+",***,511515,88131,(X),(X),19.4,(X),(X),(X),1250,223,1.4,2.2,0,2.4,0,2.4,0,2.4,1.4,2.2,1.3,2.1,2.3,2.4,7.2,4,4.1,3.4,82.4,5.5,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),1392,223,3.7,3,3.8,3.7,0,2.1,1.7,2.7,6.5,4.4,5.6,3.3,9,6.7,14.3,7.6,14.8,6.8,40.7,8.3,157841,29957,277458,59195,(X),(X),(X),(X),20.5,(X)
10009,ZCTA5 10009,30062,550,12.8,1.8,7.9,1.3,9,1.5,6.5,1.2,8.2,1.3,11.7,1.8,11.3,1.6,15.7,2.3,7.4,1.4,9.5,1.6,60788,3699,85897,4222,24.1,(X),(X),(X),(X),(X),10626,693,7.9,2.2,6.7,1.5,10.5,2.7,9.3,2,10.4,2.7,11.8,2.7,9.4,2.8,14.1,3.4,7.3,2.2,12.5,3.1,58931,6470,97878,8855,(X),(X),23.8,(X),(X),(X),5797,658,3.9,3,2.9,1.5,5.7,2.3,6.6,2.6,8,3.3,11.5,3.9,8.5,2.9,18.2,4.6,12.5,3.8,22.2,5.4,110694,19018,N,N,(X),(X),(X),(X),(X),(X),19436,832,15.5,2.3,8.8,1.7,7.8,1.8,5.1,1.5,7.2,1.6,11.9,2.3,11.9,2.2,16.4,2.7,7.4,1.8,7.9,2,61452,7645,78778,4941,(X),(X),(X),(X),24.1,(X)
10010,ZCTA5 10010,16070,755,5.7,1.9,3.5,2.1,5,1.7,3.9,1.4,4.5,1.4,11.7,3,11.3,2.8,17.1,3.2,8.6,2.1,28.8,4,110142,9266,163333,11715,25,(X),(X),(X),(X),(X),5147,607,2.8,1.5,1.7,1.8,2.4,1.8,1.2,1.1,2.9,2.2,8.8,3.4,7.9,4.7,16.2,4.8,11.3,3.4,44.7,6.3,170284,38677,221654,20766,(X),(X),29.1,(X),(X),(X),4146,548,1.3,1.1,0,0.7,1.9,1.9,1.4,1.4,1.1,1.1,5.5,3.1,8.2,5.7,15.2,5.4,10.7,3.4,54.8,6.7,219459,18947,N,N,(X),(X),(X),(X),(X),(X),10923,678,7.1,2.5,4.4,2.9,6.2,2.4,5.1,1.9,5.2,1.9,13.1,3.7,12.8,3.4,17.7,3.8,7.4,2.6,21.1,3.8,88133,16141,135531,13125,(X),(X),(X),(X),23,(X)
10011,ZCTA5 10011,28738,1007,6,1.3,3.3,0.9,5.2,1,4.9,1.2,7.5,1.5,8.9,1.5,7.5,1.3,17.9,2,10.2,1.6,28.5,2.2,114134,6726,194277,13500,22.6,(X),(X),(X),(X),(X),8706,706,3.4,1.6,1.3,1.2,1.6,0.9,3.5,1.9,3.8,1.9,6.2,2.2,7.2,2.4,12.8,3,13,3.5,47.3,4.3,192234,13925,317332,32561,(X),(X),26.9,(X),(X),(X),6858,666,0.4,0.5,1.2,1.4,0.7,0.7,2.1,1.5,2.5,2,5.5,2.6,6,2.5,14.6,3.6,15.2,4.1,51.7,5.2,204865,22562,N,N,(X),(X),(X),(X),(X),(X),20032,944,7.2,1.6,4.1,1.1,6.8,1.4,5.5,1.4,9.2,1.9,10.1,1.8,8,1.7,19.9,2.5,9,1.7,20,2.4,94554,11667,136860,10593,(X),(X),(X),(X),20.6,(X)
10012,ZCTA5 10012,12240,549,8.3,2,1.6,0.7,4.5,1.4,4.7,1.5,8,2.3,12.5,2.1,8.6,1.8,17.5,2.7,12.8,2.6,21.6,2.7,101815,3308,149310,10543,24,(X),(X),(X),(X),(X),3916,380,3,2.1,1.4,1.3,4.2,3.1,3.6,2.1,4.9,3.3,11.9,4.3,6.5,3.3,15.2,4.1,15.3,4.5,34.1,5.1,149094,13230,215876,23276,(X),(X),30.3,(X),(X),(X),3219,379,2.6,2.3,0.5,0.8,5.1,3.7,3.5,2.3,2.9,1.8,10.2,4.4,7.2,3.9,15.1,4.4,16.3,5.3,36.6,6,152313,10502,N,N,(X),(X),(X),(X),(X),(X),8324,580,10.8,2.6,1.7,0.8,4.7,1.5,5.2,1.8,9.4,2.8,12.9,2.3,9.6,2.3,18.5,3.4,11.9,2.7,15.4,2.9,84530,7621,116283,8211,(X),(X),(X),(X),20.8,(X)
10013,ZCTA5 10013,11934,480,6.6,1.7,4.7,1.3,10.3,1.9,5.4,1.8,5.3,1.7,8.7,2.2,7.5,1.9,12.1,2.5,6.4,1.4,32.9,2.2,104167,10841,246993,21388,32.6,(X),(X),(X),(X),(X),5926,453,2.8,1.4,3.5,1.5,10.3,2.9,5.3,2.6,5,2.3,6.7,2.4,7.8,2.6,11.6,3.1,4.5,2,42.6,4.1,128721,24907,313106,27176,(X),(X),36.4,(X),(X),(X),4502,421,2.3,1.5,3.4,1.7,7.2,3.2,4.1,2.5,5.2,2.9,5.3,2.1,7.4,3,9.9,3.5,3.8,1.7,51.4,4.7,209022,42044,N,N,(X),(X),(X),(X),(X),(X),6008,413,10.6,2.9,5.9,2.1,10.7,2.5,5.4,2.5,5.4,2.3,10.8,3.6,7.4,2.6,12.2,3.7,8.4,2.4,23.3,4.6,76741,12437,181347,44898,(X),(X),(X),(X),28.9,(X)
10014,ZCTA5 10014,18671,574,3.5,0.9,2.2,1,4,1,5.5,1.7,6.3,1.5,13.2,2.3,10.4,1.8,13.2,1.7,11.9,1.8,29.9,2.4,119026,12563,189369,12146,23.1,(X),(X),(X),(X),(X),4489,400,1.2,1.2,1.8,2,2.5,1.4,2,1.3,2.9,2,9.4,3.5,6.3,2.7,11,3.3,14.5,4,48.2,5.3,190865,24561,298732,33449,(X),(X),29.3,(X),(X),(X),3893,339,0.6,0.9,1.3,1.9,2.3,1.4,1.9,1.5,2.7,2.1,7.3,3.2,5.7,2.6,10.1,3.2,15.3,4.4,52.8,6.1,209583,23581,N,N,(X),(X),(X),(X),(X),(X),14182,615,4.4,1.2,2.3,1.2,4.3,1.3,6.6,2.3,7.4,2,14.6,3,11.6,2.3,13.7,2.3,11,2.1,24.2,2.8,95100,9798,154275,11460,(X),(X),(X),(X),20.8,(X)
10016,ZCTA5 10016,28359,1001,6,1.5,3.4,1.3,4.5,1.2,4.2,1.2,7.7,1.9,12.8,1.9,9.9,1.9,17.9,2.4,11.5,1.9,22.1,2.5,102703,6117,148391,8916,23.4,(X),(X),(X),(X),(X),7688,809,3.1,2.3,3.8,3.7,1.6,1.3,2.7,1.8,5.1,4.8,5.8,2.8,5.3,2.4,17.6,4.8,15.5,4.1,39.5,5,166016,15922,227030,21968,(X),(X),26.2,(X),(X),(X),6491,717,2.4,2.5,4.3,4.2,1,1.5,2,1.5,1.2,1.1,4.5,2.5,6,2.7,17.3,5.3,15.9,4.1,45.4,6.1,177580,22528,N,N,(X),(X),(X),(X),(X),(X),20671,1052,7.2,2,3.2,1.3,5.5,1.6,4.8,1.6,8.7,1.7,15.4,2.3,11.6,2.3,18.3,2.8,9.8,2.6,15.5,2.5,85822,6700,118599,7585,(X),(X),(X),(X),22.4,(X)
10017,ZCTA5 10017,10134,620,4.6,1.9,1.5,1,6.1,2,3.2,1.7,5.8,1.8,14,3.7,11.2,3.2,17.8,3.4,12.3,3.5,23.6,3.5,106795,16080,163683,14234,22.1,(X),(X),(X),(X),(X),3025,404,2.4,2.1,0.4,0.6,4.5,4.2,0.9,1.5,1.2,1.2,5.4,3.3,5.1,3.2,19.7,6.9,13.3,6.6,47.2,7.7,187356,28368,258565,33699,(X),(X),32.1,(X),(X),(X),2396,423,1.5,2.1,0.5,0.8,0.2,0.2,1.2,1.8,1.5,1.6,5.8,4,4.1,3,15.7,5.7,15.6,7.7,53.9,8.2,205943,12825,N,N,(X),(X),(X),(X),(X),(X),7109,566,5.7,2.5,1.9,1.4,6.7,2.4,4.2,2.3,7.7,2.5,17.6,4.6,14.2,4.1,17,4.3,11.5,3.7,13.5,3.8,83385,9081,122982,15476,(X),(X),(X),(X),17.5,(X)
10018,ZCTA5 10018,4956,264,6.4,2.2,3.6,2.2,6.1,2.5,4.6,1.8,5.1,2.1,8.5,2.5,11.5,3.3,17.5,3.6,12.3,3.6,24.4,3.4,105479,12702,149153,14134,29.3,(X),(X),(X),(X),(X),1194,209,0.8,1.4,1.3,2,4.4,3.7,7.5,4.4,3.7,3,9.3,5.7,9.3,6.8,16.7,7.2,8.9,5.2,38.1,9.5,129583,43314,187000,25692,(X),(X),40.9,(X),(X),(X),890,168,1.1,1.9,0,3.3,0.6,0.9,4,3.7,4.9,4,6.4,6.1,3.5,3.1,20.7,9.8,10.9,6.5,47.9,10.7,172250,70881,N,N,(X),(X),(X),(X),(X),(X),3762,299,8.2,2.7,4.4,2.8,6.6,3.2,3.7,2,5.5,2.5,8.3,2.8,12.1,3.6,17.7,4,13.4,4.1,20.1,3.8,100913,8920,137141,15932,(X),(X),(X),(X),25.6,(X)
10019,ZCTA5 10019,23465,879,7.7,1.5,3.8,1,6.3,1.5,5.7,1.3,6.4,1.5,12.7,2.3,10.3,1.9,15.1,2.5,9.4,1.7,22.5,2.5,94477,5898,146207,8744,25.7,(X),(X),(X),(X),(X),6344,660,3.7,1.8,3.5,2.1,1.8,1.2,4.8,2.2,7.9,2.7,9.5,3.5,6.8,2.6,13.3,3.4,11.3,3.4,37.2,4.7,139947,29034,220701,24097,(X),(X),32.5,(X),(X),(X),4839,573,2.3,2.1,2.1,1.5,1.5,1.4,2.9,1.9,6.7,2.8,6,3.3,6,2.7,16.4,4.3,11.4,3.5,44.7,5.3,176250,26073,N,N,(X),(X),(X),(X),(X),(X),17121,803,9.2,1.9,4,1.2,8,2,6,1.7,6.2,2,13.8,2.8,11.5,2.3,15.7,2.9,8.9,2.1,16.8,2.6,80592,6688,117835,7801,(X),(X),(X),(X),23,(X)
10020,ZCTA5 10020,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
10021,ZCTA5 10021,24558,929,5.9,1.9,3,1.5,4.3,1.6,4.1,1.7,6.8,2,11.6,2.2,9.2,2.4,11.9,2.4,10.2,2.2,33.1,3.2,115681,14417,211624,15807,30.8,(X),(X),(X),(X),(X),9893,811,1.9,1.4,0.7,0.8,1.6,1.4,0.7,0.9,3.8,2.4,5.1,2.2,5.6,2.6,9.2,3.2,13.4,4.6,57.9,6.5,232484,17507,349424,34837,(X),(X),37.3,(X),(X),(X),8623,798,1,0.8,0.6,0.8,1.1,1.1,0.8,1.1,4.3,2.8,5,2.3,4.7,2.6,8,3.2,13.9,4.8,60.6,6.7,234045,30234,N,N,(X),(X),(X),(X),(X),(X),14665,1033,8.6,3,4.6,2.5,6.1,2.4,6.3,2.8,8.7,3,16.3,3.4,11.8,3.5,13.7,3.1,7.8,2.2,16,3.7,74155,7459,117095,13209,(X),(X),(X),(X),26.1,(X)
